race_id	horse_id	target	rank	tansho_odds	popularity	umaban	pred
202303030101	2021100761	0	10	2.1	1	1	0.37190233172806725
202303030101	2021106736	0	14	398.2	15	2	0.0007850548809501371
202303030101	2021107376	0	15	177.5	12	3	0.0013704081724226374
202303030101	2021109129	0	7	94.7	7	4	0.01807281394377162
202303030101	2021103986	0	12	173.0	11	5	0.002082772780013498
202303030101	2021104038	0	8	17.9	6	6	0.0508460092057094
202303030101	2021103306	0	2	13.2	5	7	0.055877193903361475
202303030101	2021103812	1	1	4.7	3	8	0.12673143194164943
202303030101	2021110146	0	9	100.7	8	9	0.0046611694782034896
202303030101	2021102352	0	4	4.6	2	10	0.14695646034094045
202303030101	2021107289	0	13	237.7	13	11	0.0010567582791109497
202303030101	2021102302	0	6	122.1	10	12	0.0020657325675588404
202303030101	2021101940	0	11	248.5	14	13	0.0018802537869599784
202303030101	2021104597	0	5	106.7	9	14	0.001699305005842358
202303030101	2021103371	0	3	8.5	4	15	0.08660583903100304
202303030102	2021106837	1	1	5.3	2	1	0.23634797727850598
202303030102	2021101064	0	4	5.8	4	2	0.10306968577854363
202303030102	2021100453	0	13	155.0	11	3	0.0011079654624567413
202303030102	2021101473	0	5	36.6	8	4	0.020027820857928234
202303030102	2021103329	0	9	25.3	5	5	0.07319225861866495
202303030102	2021104739	0	7	86.3	9	6	0.00288358626263316
202303030102	2021104112	0	3	2.0	1	7	0.36723977002228486
202303030102	2021104430	0	10	179.6	12	8	0.0008931036794232336
202303030102	2021106667	0	12	465.6	13	9	0.0007234602692288133
202303030102	2021100520	0	8	27.2	6	10	0.02458145344390567
202303030102	2021106627	0	2	5.6	3	11	0.13829534384221098
202303030102	2021105273	0	11	104.6	10	12	0.0024681929182229535
202303030102	2021101673	0	6	29.7	7	13	0.03226363652731965
202303030103	2020106795	1	1	16.2	8	1	0.068836670658038
202303030103	2020100143	0	6	9.4	6	2	0.0718034817552357
202303030103	2019107007	0	2	3.5	1	3	0.3241842543835936
202303030103	2020104664	0	4	7.0	4	4	0.2157148729216848
202303030103	2019101484	0	12	251.5	12	5	0.0009179709786983193
202303030103	2019104686	0	10	9.4	7	6	0.11094433103859704
202303030103	2020109134	0	5	149.3	11	7	0.0009868267769752592
202303030103	2019103633	0	9	20.9	9	8	0.031412541246545925
202303030103	2020102639	0	11	5.3	2	9	0.17330334692902874
202303030103	2019106677	0	7	9.1	5	10	0.10882454052948484
202303030103	2020106429	0	3	76.3	10	11	0.012470715335794205
202303030103	2019106105	0	8	5.4	3	12	0.1202253410502732
202303030104	2019100577	0	7	2.7	1	1	0.20214280557019967
202303030104	2018104846	0	8	57.7	10	2	0.0054232070464860765
202303030104	2020102589	0	4	13.4	6	3	0.06374584236821984
202303030104	2020101020	1	1	6.5	3	4	0.12998464404690244
202303030104	2019104882	0	6	19.0	7	5	0.049068631107936904
202303030104	2020104375	0	3	11.6	5	6	0.07749417281727526
202303030104	2018101114	0	11	362.7	11	7	0.004081789658122472
202303030104	2019103506	0	5	10.5	4	8	0.07479320561869024
202303030104	2019104712	0	2	3.0	2	9	0.301040639788858
202303030104	2020104495	0	10	21.4	8	10	0.022469182786157484
202303030104	2019105059	0	9	28.6	9	11	0.02466858887213176
202303030105	2021104457	0	10	9.4	5	1	0.07776436869208239
202303030105	2021103552	1	1	3.5	1	2	0.2431307678515537
202303030105	2021107113	0	15	194.1	16	3	0.00106085444868248
202303030105	2021101869	0	11	5.4	3	4	0.1101979687978615
202303030105	2021101686	0	5	16.0	6	5	0.06208713202640068
202303030105	2021102638	0	6	40.4	9	6	0.02078487370841206
202303030105	2021100865	0	16	98.7	13	7	0.0018235930238228012
202303030105	2021103347	0	13	47.0	11	8	0.042321507854598706
202303030105	2021104682	0	4	139.7	15	9	0.0009680052676392059
202303030105	2021101089	0	7	16.2	7	10	0.08271917301464671
202303030105	2021102205	0	9	63.3	12	11	0.007085111460657664
202303030105	2021103561	0	2	4.6	2	12	0.1658911318129398
202303030105	2021106459	0	8	46.8	10	13	0.03457862639372721
202303030105	2021102277	0	3	7.6	4	14	0.11843587121051052
202303030105	2021106316	0	14	119.8	14	15	0.0014509422973707018
202303030105	2021100556	0	12	29.9	8	16	0.021257520584387464
202303030106	2020106986	0	7	28.2	6	1	0.019910133737593354
202303030106	2017105874	0	4	102.5	11	2	0.0008262156276946452
202303030106	2020102795	0	5	17.5	5	3	0.04701238289826071
202303030106	2019104491	0	12	85.9	9	4	0.0024008028510298547
202303030106	2017101624	0	10	108.8	12	5	0.0015034456523319872
202303030106	2019105297	1	1	2.8	2	6	0.2337511926299204
202303030106	2019101612	0	6	7.6	4	7	0.107588253430307
202303030106	2020103503	0	3	93.2	10	8	0.003929358313116067
202303030106	2019105551	0	14	150.3	14	9	0.0006848568632717477
202303030106	2020103491	0	9	4.8	3	10	0.21392081217479503
202303030106	2020105836	0	8	35.6	7	11	0.06564895319376897
202303030106	2020101146	0	11	135.1	13	12	0.002997123071840872
202303030106	2020103060	0	2	2.7	1	13	0.266176703443201
202303030106	2020103667	0	13	59.4	8	14	0.007535429192116395
202303030107	2018106606	0	5	181.6	12	1	0.0013297579195090288
202303030107	2018105996	0	4	14.6	7	2	0.09480463154802053
202303030107	2019103512	0	8	135.9	11	3	0.0016589835420496462
202303030107	2018106715	0	12	131.8	10	4	0.0019512670650695828
202303030107	2020101412	0	3	2.5	1	5	0.29931298822344043
202303030107	2020105643	1	1	6.3	3	6	0.10531719157417632
202303030107	2019101275	0	11	126.4	9	7	0.00207207063045434
202303030107	2019101621	0	10	3.9	2	8	0.14575347637201483
202303030107	2020102093	0	9	10.0	5	9	0.08663838698234172
202303030107	2019104646	0	6	13.7	6	10	0.05023501920890377
202303030107	2019101500	0	13	262.2	13	11	0.0007169947087587518
202303030107	2019101753	0	7	22.3	8	12	0.02519259377073041
202303030107	2020104306	0	2	7.8	4	13	0.11959521505863893
202303030108	2020104087	1	1	3.4	2	1	0.3712522601608218
202303030108	2020104437	0	9	53.4	10	2	0.00775701564745312
202303030108	2020106914	0	2	2.6	1	3	0.26037541385345087
202303030108	2018100406	0	4	9.9	4	4	0.034870702947593445
202303030108	2018104938	0	3	5.6	3	5	0.12960478390815763
202303030108	2020103885	0	12	15.1	6	6	0.05918019330015872
202303030108	2020100295	0	6	17.5	7	7	0.05263274580453878
202303030108	2020101798	0	7	23.5	8	8	0.015029095326237672
202303030108	2018104762	0	5	75.6	11	9	0.004706955163009856
202303030108	2019101032	0	13	230.6	13	10	0.0006607309561972581
202303030108	2018105357	0	8	14.0	5	11	0.05416978961446141
202303030108	2018104908	0	11	46.2	9	12	0.011071807545648698
202303030108	2019104720	0	10	96.8	12	13	0.002202795430092857
202303030109	2020103361	0	13	2.6	1	1	0.16181863327828952
202303030109	2019106877	0	10	33.7	8	2	0.019166797561467178
202303030109	2020105073	0	14	5.8	3	3	0.07916013086695865
202303030109	2019104735	0	6	91.1	15	4	0.0019178434760834578
202303030109	2019103100	0	12	43.4	9	5	0.055918861224009124
202303030109	2019106851	0	3	146.8	16	6	0.0006669067901225067
202303030109	2020104477	0	8	44.4	11	7	0.013895219993469004
202303030109	2019102559	0	11	88.6	14	8	0.005736028827636981
202303030109	2019100643	1	1	44.4	10	9	0.010205701034590018
202303030109	2020103772	0	16	81.8	13	10	0.011822399374883061
202303030109	2020105615	0	5	11.0	4	11	0.08546058482395416
202303030109	2018101924	0	2	15.7	5	12	0.033513694981861894
202303030109	2020104245	0	4	19.5	6	13	0.03437987099122551
202303030109	2020109027	0	7	3.2	2	14	0.2291241841435483
202303030109	2020103094	0	15	24.6	7	15	0.00748743062465322
202303030109	2020101768	0	9	65.6	12	16	0.008335569739542468
202303030110	2017102171	0	11	162.5	16	1	0.00067342321792182
202303030110	2019105369	0	15	9.7	6	2	0.0694943736391703
202303030110	2018104558	0	3	5.4	1	3	0.14225243496067685
202303030110	2019104808	0	4	27.9	11	4	0.0255417462596771
202303030110	2019105808	0	10	8.6	4	5	0.14612723333108227
202303030110	2017104681	0	8	31.2	12	6	0.021368880555709766
202303030110	2019103838	1	1	9.1	5	7	0.06421775409074511
202303030110	2019100831	0	14	19.7	9	8	0.06408154043926795
202303030110	2020103865	0	13	37.5	13	9	0.019450889112537447
202303030110	2020103036	0	12	69.8	15	10	0.031869195201069234
202303030110	2020104878	0	6	22.6	10	11	0.03084727083854632
202303030110	2020104881	0	16	5.8	2	12	0.09755179940678137
202303030110	2019102542	0	7	6.2	3	13	0.22801716986807702
202303030110	2019103005	0	5	11.1	7	14	0.08046832360600639
202303030110	2017105339	0	2	38.2	14	15	0.021108773575959274
202303030110	2020100382	0	9	12.0	8	16	0.07034142975966118
202303030111	2015104887	0	3	48.2	12	1	0.008196457304178234
202303030111	2019104621	0	2	20.4	7	2	0.017875205726855074
202303030111	2019106682	0	12	9.7	4	3	0.07591220586728742
202303030111	2019105446	0	5	12.5	5	4	0.08445874050828764
202303030111	2019103428	0	11	2.2	1	5	0.25126164500736836
202303030111	2019103274	0	7	37.7	10	6	0.018000879579757014
202303030111	2019100451	0	6	17.1	6	7	0.04118225840803953
202303030111	2019105741	1	1	6.7	3	8	0.09848485329103211
202303030111	2019103586	0	9	34.3	9	9	0.014313999498247337
202303030111	2018103121	0	13	21.8	8	10	0.03839585499852279
202303030111	2018103551	0	8	39.5	11	11	0.047711661670624565
202303030111	2020110137	0	4	4.9	2	12	0.20714691810935631
202303030111	2014110029	0	10	86.8	13	13	0.005590571122302731
202303030112	2020103238	0	4	4.1	2	1	0.15128383702187456
202303030112	2018104872	0	5	9.2	6	2	0.06134452561073759
202303030112	2018103125	0	2	7.3	5	3	0.11973397384534192
202303030112	2020105131	0	11	70.7	11	4	0.003527389869000331
202303030112	2019100677	0	10	14.1	7	5	0.04369809316435531
202303030112	2017103309	0	6	5.9	3	6	0.1834712658223206
202303030112	2019104818	1	1	6.9	4	7	0.10781238161887666
202303030112	2020104824	0	7	19.1	8	8	0.05926439458060874
202303030112	2019104764	0	9	43.9	9	9	0.00789759494822196
202303030112	2020100906	0	3	3.5	1	10	0.2682362930275467
202303030112	2020100305	0	8	56.9	10	11	0.011182172717718628
202303030201	2021103549	0	7	257.6	12	1	0.001458221988537163
202303030201	2021100652	0	8	95.2	7	2	0.0018955987064566914
202303030201	2021103517	0	11	210.1	11	3	0.0006753429401989408
202303030201	2021103105	0	6	162.9	9	4	0.0010226428542305062
202303030201	2021102700	0	3	7.9	3	5	0.07438034481551892
202303030201	2021100625	0	4	58.5	5	6	0.0068948185280375465
202303030201	2021105341	0	10	163.5	10	7	0.0015058255075704244
202303030201	2021101293	0	12	70.3	6	8	0.006653319465081866
202303030201	2021102990	0	9	34.1	4	9	0.026454212474598105
202303030201	2021100161	1	1	2.6	2	10	0.4065814369866387
202303030201	2021100710	0	5	99.1	8	11	0.0014915853880000478
202303030201	2021100641	0	2	1.7	1	12	0.4956838883615734
202303030202	2021106116	0	13	339.4	14	1	0.0003329458451509641
202303030202	2021110023	0	2	7.5	5	2	0.09329548753199465
202303030202	2021101252	0	5	49.3	9	3	0.009314750048746727
202303030202	2021103378	0	12	58.4	10	4	0.0036503573123177627
202303030202	2021106440	1	1	2.7	1	5	0.2529972502097381
202303030202	2021107237	0	8	38.9	8	6	0.018793834077418275
202303030202	2021102095	0	9	112.5	12	7	0.0016909301231807484
202303030202	2021100321	0	16	720.9	16	8	0.0003341449524772099
202303030202	2021106617	0	4	15.9	6	9	0.04996846854505931
202303030202	2021103571	0	10	75.6	11	10	0.003161526090739881
202303030202	2021104056	0	14	448.9	15	11	0.0011518406748693016
202303030202	2021101769	0	6	4.1	2	12	0.19004833821384687
202303030202	2021104806	0	3	7.2	3	13	0.10907135711312584
202303030202	2021101626	0	11	7.4	4	14	0.0926652034451551
202303030202	2021100287	0	7	36.9	7	15	0.00880846166498942
202303030202	2021105024	0	15	252.5	13	16	0.001420843188025891
202303030203	2018104857	0	3	64.9	10	1	0.006689712526058275
202303030203	2018101240	0	10	348.1	12	2	0.000303522529992877
202303030203	2019103234	0	12	133.8	11	3	0.0022319411027311034
202303030203	2020101377	0	7	14.3	7	4	0.05581715648591686
202303030203	2020100498	0	11	12.3	6	5	0.07535048135494526
202303030203	2020104750	0	5	25.9	9	6	0.02781839096422115
202303030203	2019100029	1	1	14.8	8	7	0.03623390894668166
202303030203	2019104118	0	4	2.6	1	8	0.262777791074962
202303030203	2019105134	0	9	9.7	4	9	0.06403642560469193
