race_id	0	1	2	3
202301010206	単勝	10	170	1
202301010206	複勝	10 14 6	110 490 1,180	1 8 11
202301010206	枠連	5 - 7	1800	8
202301010206	馬連	10 - 14	2340	8
202301010206	ワイド	10 - 14 6 - 10 6 - 14	820 2,030 13,960	7 19 70
202301010206	馬単	10 → 14	2910	10
202301010206	三連複	6 - 10 - 14	29960	77
202301010206	三連単	10 → 14 → 6	88170	234
202301010207	単勝	12	4060	10
202301010207	複勝	12 10 3	1,040 240 290	11 3 5
202301010207	枠連	7 - 8	4850	26
202301010207	馬連	10 - 12	9220	33
202301010207	ワイド	10 - 12 3 - 12 3 - 10	3,370 5,110 880	36 49 9
202301010207	馬単	12 → 10	28630	83
202301010207	三連複	3 - 10 - 12	23290	85
202301010207	三連単	12 → 10 → 3	213900	631
202301010208	単勝	11	1860	5
202301010208	複勝	11 3 1	1,040 620 740	6 3 4
202301010208	枠連	3 - 8	10550	14
202301010208	馬連	3 - 11	9810	16
202301010208	ワイド	3 - 11 1 - 11 1 - 3	2,190 2,250 2,120	17 20 16
202301010208	馬単	11 → 3	25060	34
202301010208	三連複	1 - 3 - 11	31190	44
202301010208	三連単	11 → 3 → 1	250790	281
202301010209	単勝	9	350	1
202301010209	複勝	9 3 6	140 170 200	1 3 5
202301010209	枠連	3 - 8	1100	4
202301010209	馬連	3 - 9	850	2
202301010209	ワイド	3 - 9 6 - 9 3 - 6	260 400 420	1 3 6
202301010209	馬単	9 → 3	1860	3
202301010209	三連複	3 - 6 - 9	1620	4
202301010209	三連単	9 → 3 → 6	8680	14
202301010210	単勝	12	3270	9
202301010210	複勝	12 9 6	680 770 130	9 10 1
202301010210	枠連	6 - 7	6210	15
202301010210	馬連	9 - 12	48530	64
202301010210	ワイド	9 - 12 6 - 12 6 - 9	12,340 1,080 1,590	70 11 17
202301010210	馬単	12 → 9	95600	113
202301010210	三連複	6 - 9 - 12	26570	75
202301010210	三連単	12 → 9 → 6	406960	717
202301010211	単勝	4	550	2
202301010211	複勝	4 6 1	200 160 710	2 1 13
202301010211	枠連	2 - 3	690	1
202301010211	馬連	4 - 6	1080	1
202301010211	ワイド	4 - 6 1 - 4 1 - 6	500 2,450 2,590	1 32 34
202301010211	馬単	4 → 6	2320	4
202301010211	三連複	1 - 4 - 6	12520	35
202301010211	三連単	4 → 6 → 1	62120	174
202301010212	単勝	2	360	1
202301010212	複勝	2 14 7	160 280 220	1 7 3
202301010212	枠連	2 - 8	2040	10
202301010212	馬連	2 - 14	1860	6
202301010212	ワイド	2 - 14 2 - 7 7 - 14	670 480 930	5 1 11
202301010212	馬単	2 → 14	2980	6
202301010212	三連複	2 - 7 - 14	3800	5
202301010212	三連単	2 → 14 → 7	16000	11
202301010301	単勝	4	120	1
202301010301	複勝	4 6 7	110 280 300	1 6 7
202301010301	枠連	4 - 6	1170	5
202301010301	馬連	4 - 6	1100	5
202301010301	ワイド	4 - 6 4 - 7 6 - 7	420 430 1,790	4 5 21
202301010301	馬単	4 → 6	1210	5
202301010301	三連複	4 - 6 - 7	3490	14
202301010301	三連単	4 → 6 → 7	8340	35
202301010302	単勝	13	1570	7
202301010302	複勝	13 7 10	530 440 350	8 6 4
202301010302	枠連	5 - 8	6860	17
202301010302	馬連	7 - 13	8430	28
202301010302	ワイド	7 - 13 10 - 13 7 - 10	2,320 2,290 2,090	27 24 23
202301010302	馬単	13 → 7	20190	65
202301010302	三連複	7 - 10 - 13	26090	78
202301010302	三連単	13 → 7 → 10	170100	499
202301010303	単勝	5	140	1
202301010303	複勝	5 6 2	110 160 330	1 2 6
202301010303	枠連	3 - 4	290	1
202301010303	馬連	5 - 6	330	1
202301010303	ワイド	5 - 6 2 - 5 2 - 6	190 570 1,500	1 5 18
202301010303	馬単	5 → 6	430	1
202301010303	三連複	2 - 5 - 6	2470	7
202301010303	三連単	5 → 6 → 2	5270	8
202301010304	単勝	6	860	5
202301010304	複勝	6 9 3	320 270 170	8 5 1
202301010304	枠連	4 - 6	1730	11
202301010304	馬連	6 - 9	3110	11
202301010304	ワイド	6 - 9 3 - 6 3 - 9	1,350 610 880	17 3 8
202301010304	馬単	6 → 9	7010	26
202301010304	三連複	3 - 6 - 9	3930	6
202301010304	三連単	6 → 9 → 3	23790	42
202301010305	単勝	2	2250	6
202301010305	複勝	2 8 10	440 200 1,240	6 2 11
202301010305	枠連	2 - 5	3430	12
202301010305	馬連	2 - 8	3760	14
202301010305	ワイド	2 - 8 2 - 10 8 - 10	1,170 6,170 3,890	12 45 32
202301010305	馬単	2 → 8	9280	33
202301010305	三連複	2 - 8 - 10	32170	87
202301010305	三連単	2 → 8 → 10	198760	483
202301010306	単勝	11	220	1
202301010306	複勝	11 8 5	120 240 130	1 5 2
202301010306	枠連	6 - 8	440	2
202301010306	馬連	8 - 11	1610	8
202301010306	ワイド	8 - 11 5 - 11 5 - 8	580 230 620	7 1 9
202301010306	馬単	11 → 8	2230	6
202301010306	三連複	5 - 8 - 11	1510	3
202301010306	三連単	11 → 8 → 5	7610	18
202301010307	単勝	6	240	1
202301010307	複勝	6 13 3	120 170 190	1 3 4
202301010307	枠連	4 - 7	510	2
202301010307	馬連	6 - 13	670	2
202301010307	ワイド	6 - 13 3 - 6 3 - 13	310 440 740	2 4 6
202301010307	馬単	6 → 13	970	2
202301010307	三連複	3 - 6 - 13	1860	3
202301010307	三連単	6 → 13 → 3	6150	8
202301010308	単勝	6	250	1
202301010308	複勝	6 13 2	160 370 200	1 6 5
202301010308	枠連	5 - 8	2050	9
202301010308	馬連	6 - 13	3000	12
202301010308	ワイド	6 - 13 2 - 6 2 - 13	810 370 1,610	11 3 18
202301010308	馬単	6 → 13	4510	21
